,Location (county),Total number of birds testing positive,week,year,date,season,location_2,Match
484,Aberdeen,2,5,2022,31/01/2022,2021/2022,Aberdeenshire,FALSE
522,Aberdeen,1,7,2022,14/02/2022,2021/2022,Aberdeenshire,FALSE
544,Aberdeen,1,9,2022,28/02/2022,2021/2022,Aberdeenshire,FALSE
561,Aberdeen,1,10,2022,07/03/2022,2021/2022,Aberdeenshire,FALSE
589,Aberdeen,1,12,2022,21/03/2022,2021/2022,Aberdeenshire,FALSE
633,Aberdeen,1,15,2022,11/04/2022,2021/2022,Aberdeenshire,FALSE
692,Aberdeen,9,24,2022,13/06/2022,2021/2022,Aberdeenshire,FALSE
711,Aberdeen,3,25,2022,20/06/2022,2021/2022,Aberdeenshire,FALSE
99,Aberdeen,3,50,2020,14/12/2020,2020/2021,Aberdeenshire,FALSE
176,Aberdeenshire,2,3,2021,18/01/2021,2020/2021,Aberdeenshire,TRUE
275,Aberdeenshire,1,47,2021,22/11/2021,2021/2022,Aberdeenshire,TRUE
368,Aberdeenshire,1,51,2021,20/12/2021,2021/2022,Aberdeenshire,TRUE
386,Aberdeenshire,2,52,2021,27/12/2021,2021/2022,Aberdeenshire,TRUE
418,Aberdeenshire,1,2,2022,10/01/2022,2021/2022,Aberdeenshire,TRUE
453,Aberdeenshire,2,4,2022,24/01/2022,2021/2022,Aberdeenshire,TRUE
492,Aberdeenshire,8,6,2022,07/02/2022,2021/2022,Aberdeenshire,TRUE
521,Aberdeenshire,11,7,2022,14/02/2022,2021/2022,Aberdeenshire,TRUE
525,Aberdeenshire,3,8,2022,21/02/2022,2021/2022,Aberdeenshire,TRUE
545,Aberdeenshire,3,9,2022,28/02/2022,2021/2022,Aberdeenshire,TRUE
562,Aberdeenshire,8,10,2022,07/03/2022,2021/2022,Aberdeenshire,TRUE
575,Aberdeenshire,4,11,2022,14/03/2022,2021/2022,Aberdeenshire,TRUE
590,Aberdeenshire,13,12,2022,21/03/2022,2021/2022,Aberdeenshire,TRUE
600,Aberdeenshire,5,13,2022,28/03/2022,2021/2022,Aberdeenshire,TRUE
614,Aberdeenshire,4,14,2022,04/04/2022,2021/2022,Aberdeenshire,TRUE
634,Aberdeenshire,2,15,2022,11/04/2022,2021/2022,Aberdeenshire,TRUE
643,Aberdeenshire,4,16,2022,18/04/2022,2021/2022,Aberdeenshire,TRUE
649,Aberdeenshire,7,17,2022,25/04/2022,2021/2022,Aberdeenshire,TRUE
663,Aberdeenshire,1,18,2022,02/05/2022,2021/2022,Aberdeenshire,TRUE
680,Aberdeenshire,5,21,2022,23/05/2022,2021/2022,Aberdeenshire,TRUE
685,Aberdeenshire,6,23,2022,06/06/2022,2021/2022,Aberdeenshire,TRUE
693,Aberdeenshire,9,24,2022,13/06/2022,2021/2022,Aberdeenshire,TRUE
712,Aberdeenshire,7,25,2022,20/06/2022,2021/2022,Aberdeenshire,TRUE
740,Aberdeenshire,3,27,2022,04/07/2022,2021/2022,Aberdeenshire,TRUE
761,Aberdeenshire,1,29,2022,18/07/2022,2021/2022,Aberdeenshire,TRUE
781,Aberdeenshire,3,31,2022,01/08/2022,2021/2022,Aberdeenshire,TRUE
795,Aberdeenshire,2,33,2022,15/08/2022,2021/2022,Aberdeenshire,TRUE
1008,AberdeenshireÂ ,1,47,2022,21/11/2022,2022/2023,Aberdeenshire,TRUE
163,Angus,1,52,2020,28/12/2020,2020/2021,Angus,TRUE
263,Angus,2,47,2021,22/11/2021,2021/2022,Angus,TRUE
336,Angus,1,49,2021,06/12/2021,2021/2022,Angus,TRUE
454,Angus,2,4,2022,24/01/2022,2021/2022,Angus,TRUE
493,Angus,1,6,2022,07/02/2022,2021/2022,Angus,TRUE
563,Angus,3,10,2022,07/03/2022,2021/2022,Angus,TRUE
694,Angus,8,24,2022,13/06/2022,2021/2022,Angus,TRUE
714,Angus,6,25,2022,20/06/2022,2021/2022,Angus,TRUE
741,Angus,8,27,2022,04/07/2022,2021/2022,Angus,TRUE
752,Angus,4,28,2022,11/07/2022,2021/2022,Angus,TRUE
782,Angus,3,31,2022,01/08/2022,2021/2022,Angus,TRUE
526,Argyll and Bute,1,8,2022,21/02/2022,2021/2022,Argyll and Bute,TRUE
576,Argyll and Bute,2,11,2022,14/03/2022,2021/2022,Argyll and Bute,TRUE
753,Argyll and Bute,2,28,2022,11/07/2022,2021/2022,Argyll and Bute,TRUE
762,Argyll and Bute,3,29,2022,18/07/2022,2021/2022,Argyll and Bute,TRUE
783,Argyll and Bute,1,31,2022,01/08/2022,2021/2022,Argyll and Bute,TRUE
796,Argyll and Bute,1,33,2022,15/08/2022,2021/2022,Argyll and Bute,TRUE
1009,Argyll and Bute,3,47,2022,21/11/2022,2022/2023,Argyll and Bute,TRUE
592,Barnsley Metropolitan Borough,1,12,2022,21/03/2022,2021/2022,Barnsley,TRUE
845,Bedford Borough,5,39,2022,26/09/2022,2021/2022,Bedford,TRUE
409,Birmingham City Council,1,1,2022,03/01/2022,2021/2022,Birmingham,TRUE
419,Birmingham City Council,4,2,2022,10/01/2022,2021/2022,Birmingham,TRUE
455,Birmingham City Council,2,4,2022,24/01/2022,2021/2022,Birmingham,TRUE
489,Birmingham City Council,11,5,2022,31/01/2022,2021/2022,Birmingham,TRUE
495,Birmingham City Council,5,6,2022,07/02/2022,2021/2022,Birmingham,TRUE
615,Birmingham City Council,2,14,2022,04/04/2022,2021/2022,Birmingham,TRUE
941,Birmingham City,1,44,2022,31/10/2022,2022/2023,Birmingham,TRUE
966,Birmingham City,5,45,2022,07/11/2022,2022/2023,Birmingham,TRUE
967,Blackburn with Darwen,2,45,2022,07/11/2022,2022/2023,Blackburn with Darwen,TRUE
233,Blackpool Borough Council,2,46,2021,15/11/2021,2021/2022,Blackpool,TRUE
279,Blackpool Borough Council,2,47,2021,22/11/2021,2021/2022,Blackpool,TRUE
811,Blackpool Borough Council,1,35,2022,29/08/2022,2021/2022,Blackpool,TRUE
90,Gwent,3,49,2020,07/12/2020,2020/2021,Blaenau Gwent,FALSE
837,"Bournemouth, Christchurch and Poole Council",1,38,2022,19/09/2022,2021/2022,"Bournemouth, Christchurch and Poole",TRUE
1010,"Bournemouth, Christchurch and Poole",2,47,2022,21/11/2022,2022/2023,"Bournemouth, Christchurch and Poole",TRUE
400,City of Bradford Metropolitan District,1,1,2022,03/01/2022,2021/2022,Bradford,FALSE
635,City of Bradford Metropolitan District,1,15,2022,11/04/2022,2021/2022,Bradford,FALSE
696,Brighton and Hove City Council,3,24,2022,13/06/2022,2021/2022,Brighton and Hove,TRUE
727,Brighton and Hove City Council,4,26,2022,27/06/2022,2021/2022,Brighton and Hove,TRUE
763,Bristol,1,29,2022,18/07/2022,2021/2022,"Bristol, City of",FALSE
207,Bury,1,45,2021,08/11/2021,2021/2022,Bury,TRUE
229,Bury Metropolitan Borough Council,1,46,2021,15/11/2021,2021/2022,Bury,TRUE
240,Bury Metropolitan Borough Council,1,46,2021,15/11/2021,2021/2022,Bury,TRUE
248,Bury Metropolitan Borough Council,2,47,2021,22/11/2021,2021/2022,Bury,TRUE
316,Bury,1,48,2021,29/11/2021,2021/2022,Bury,TRUE
56,Cambridgeshire,1,47,2020,23/11/2020,2020/2021,Cambridgeshire,TRUE
62,Cambridgeshire,1,48,2020,30/11/2020,2020/2021,Cambridgeshire,TRUE
63,Cambridgeshire,1,48,2020,30/11/2020,2020/2021,Cambridgeshire,TRUE
82,Cambridgeshire,1,48,2020,30/11/2020,2020/2021,Cambridgeshire,TRUE
104,Cambridgeshire,3,50,2020,14/12/2020,2020/2021,Cambridgeshire,TRUE
105,Cambridgeshire,1,50,2020,14/12/2020,2020/2021,Cambridgeshire,TRUE
106,Cambridgeshire,1,50,2020,14/12/2020,2020/2021,Cambridgeshire,TRUE
124,Cambridgeshire,2,51,2020,21/12/2020,2020/2021,Cambridgeshire,TRUE
125,Cambridgeshire,1,51,2020,21/12/2020,2020/2021,Cambridgeshire,TRUE
126,Cambridgeshire,1,51,2020,21/12/2020,2020/2021,Cambridgeshire,TRUE
127,Cambridgeshire,1,51,2020,21/12/2020,2020/2021,Cambridgeshire,TRUE
141,Cambridgeshire,1,52,2020,28/12/2020,2020/2021,Cambridgeshire,TRUE
142,Cambridgeshire,1,52,2020,28/12/2020,2020/2021,Cambridgeshire,TRUE
143,Cambridgeshire,1,52,2020,28/12/2020,2020/2021,Cambridgeshire,TRUE
144,Cambridgeshire,1,52,2020,28/12/2020,2020/2021,Cambridgeshire,TRUE
146,Cambridgeshire,2,52,2020,28/12/2020,2020/2021,Cambridgeshire,TRUE
156,Cambridgeshire,1,52,2020,28/12/2020,2020/2021,Cambridgeshire,TRUE
181,Cambridgeshire,1,5,2021,01/02/2021,2020/2021,Cambridgeshire,TRUE
283,South Cambridgeshire District Council,1,48,2021,29/11/2021,2021/2022,Cambridgeshire,TRUE
665,East Cambridgeshire,1,18,2022,02/05/2022,2021/2022,Cambridgeshire,TRUE
972,East Cambridgeshire,1,45,2022,07/11/2022,2022/2023,Cambridgeshire,TRUE
996,Fenland,1,46,2022,14/11/2022,2022/2023,Cambridgeshire,FALSE
395,Huntingdonshire District,1,1,2022,03/01/2022,2021/2022,Cambridgeshire,FALSE
774,Huntingdonshire District,2,30,2022,25/07/2022,2021/2022,Cambridgeshire,FALSE
792,Huntingdonshire District,4,32,2022,08/08/2022,2021/2022,Cambridgeshire,FALSE
549,City of Cardiff,1,9,2022,28/02/2022,2021/2022,Cardiff,FALSE
564,City of Cardiff,1,10,2022,07/03/2022,2021/2022,Cardiff,FALSE
604,City of Cardiff,1,13,2022,28/03/2022,2021/2022,Cardiff,FALSE
0,Carmarthenshire,1,51,2016,19/12/2016,2016/2017,Carmarthenshire,TRUE
96,Carmarthenshire,1,49,2020,07/12/2020,2020/2021,Carmarthenshire,TRUE
203,"(Carmarthenshire, Wales)",1,44,2021,01/11/2021,2021/2022,Carmarthenshire,FALSE
496,Carmarthenshire,1,6,2022,07/02/2022,2021/2022,Carmarthenshire,TRUE
717,Carmarthenshire,1,25,2022,20/06/2022,2021/2022,Carmarthenshire,TRUE
818,Carmarthenshire,1,36,2022,05/09/2022,2021/2022,Carmarthenshire,TRUE
847,Carmarthenshire,1,39,2022,26/09/2022,2021/2022,Carmarthenshire,TRUE
859,Carmarthenshire,1,40,2022,03/10/2022,2022/2023,Carmarthenshire,TRUE
900,Carmarthenshire,2,42,2022,17/10/2022,2022/2023,Carmarthenshire,TRUE
942,Carmarthenshire,3,44,2022,31/10/2022,2022/2023,Carmarthenshire,TRUE
969,Carmarthenshire,1,45,2022,07/11/2022,2022/2023,Carmarthenshire,TRUE
118,Bedfordshire,1,50,2020,14/12/2020,2020/2021,Central Bedfordshire,FALSE
164,Bedfordshire,1,52,2020,28/12/2020,2020/2021,Central Bedfordshire,FALSE
991,Central Bedfordshire,5,46,2022,14/11/2022,2022/2023,Central Bedfordshire,TRUE
208,Ceredigion,2,45,2021,08/11/2021,2021/2022,Ceredigion,TRUE
546,Ceredigion,2,9,2022,28/02/2022,2021/2022,Ceredigion,TRUE
718,Ceredigion,2,25,2022,20/06/2022,2021/2022,Ceredigion,TRUE
812,Ceredigion County Council,2,35,2022,29/08/2022,2021/2022,Ceredigion,FALSE
277,Cheshire East,7,47,2021,22/11/2021,2021/2022,Cheshire East,TRUE
332,Cheshire East,1,49,2021,06/12/2021,2021/2022,Cheshire East,TRUE
377,Cheshire East,2,51,2021,20/12/2021,2021/2022,Cheshire East,TRUE
411,Cheshire East,2,1,2022,03/01/2022,2021/2022,Cheshire East,TRUE
422,Cheshire East,2,2,2022,10/01/2022,2021/2022,Cheshire East,TRUE
497,Cheshire East,2,6,2022,07/02/2022,2021/2022,Cheshire East,TRUE
547,Cheshire East,1,9,2022,28/02/2022,2021/2022,Cheshire East,TRUE
602,Cheshire East,5,13,2022,28/03/2022,2021/2022,Cheshire East,TRUE
825,Cheshire East,6,37,2022,12/09/2022,2021/2022,Cheshire East,TRUE
838,Cheshire East,4,38,2022,19/09/2022,2021/2022,Cheshire East,TRUE
848,Cheshire East,4,39,2022,26/09/2022,2021/2022,Cheshire East,TRUE
860,Cheshire East,2,40,2022,03/10/2022,2022/2023,Cheshire East,TRUE
875,Cheshire East,1,41,2022,10/10/2022,2022/2023,Cheshire East,TRUE
921,Cheshire East,1,43,2022,24/10/2022,2022/2023,Cheshire East,TRUE
943,Cheshire East,2,44,2022,31/10/2022,2022/2023,Cheshire East,TRUE
412,Cheshire West and Chester,2,1,2022,03/01/2022,2021/2022,Cheshire West and Chester,TRUE
423,Cheshire West and Chester,5,2,2022,10/01/2022,2021/2022,Cheshire West and Chester,TRUE
498,Cheshire West and Chester,3,6,2022,07/02/2022,2021/2022,Cheshire West and Chester,TRUE
548,Cheshire West and Chester,1,9,2022,28/02/2022,2021/2022,Cheshire West and Chester,TRUE
577,Cheshire West and Chester,2,11,2022,14/03/2022,2021/2022,Cheshire West and Chester,TRUE
603,Cheshire West and Chester,1,13,2022,28/03/2022,2021/2022,Cheshire West and Chester,TRUE
922,Cheshire West and Chester,4,43,2022,24/10/2022,2022/2023,Cheshire West and Chester,TRUE
944,Cheshire West and Chester,2,44,2022,31/10/2022,2022/2023,Cheshire West and Chester,TRUE
192,"(Edinburgh, Scotland)",1,43,2021,25/10/2021,2021/2022,City of Edinburgh,FALSE
424,City of Edinburgh,2,2,2022,10/01/2022,2021/2022,City of Edinburgh,FALSE
500,City of Edinburgh,1,6,2022,07/02/2022,2021/2022,City of Edinburgh,FALSE
529,City of Edinburgh,1,8,2022,21/02/2022,2021/2022,City of Edinburgh,FALSE
565,City of Edinburgh,1,10,2022,07/03/2022,2021/2022,City of Edinburgh,FALSE
605,City of Edinburgh,1,13,2022,28/03/2022,2021/2022,City of Edinburgh,FALSE
697,City of Edinburgh,2,24,2022,13/06/2022,2021/2022,City of Edinburgh,FALSE
159,Clackmannanshire,1,52,2020,28/12/2020,2020/2021,Clackmannanshire,TRUE
160,Clackmannanshire,2,52,2020,28/12/2020,2020/2021,Clackmannanshire,TRUE
166,Clackmannanshire,1,53,2020,04/01/2021,2020/2021,Clackmannanshire,TRUE
518,Clackmannanshire,1,7,2022,14/02/2022,2021/2022,Clackmannanshire,TRUE
636,Clackmannanshire,1,15,2022,11/04/2022,2021/2022,Clackmannanshire,TRUE
651,Clackmannanshire,1,17,2022,25/04/2022,2021/2022,Clackmannanshire,TRUE
9,Conwy,1,1,2017,02/01/2017,2016/2017,Conwy,TRUE
10,Wales,1,2,2017,09/01/2017,2016/2017,Conwy,FALSE
671,Conwy,1,19,2022,09/05/2022,2021/2022,Conwy,TRUE
66,Cornwall,1,48,2020,30/11/2020,2020/2021,Cornwall,TRUE
167,Cornwall,1,53,2020,04/01/2021,2020/2021,Cornwall,TRUE
179,Cornwall,2,4,2021,25/01/2021,2020/2021,Cornwall,TRUE
456,Cornwall,5,4,2022,24/01/2022,2021/2022,Cornwall,TRUE
755,Cornwall,1,28,2022,11/07/2022,2021/2022,Cornwall,TRUE
797,Cornwall,2,33,2022,15/08/2022,2021/2022,Cornwall,TRUE
804,Cornwall,3,34,2022,22/08/2022,2021/2022,Cornwall,TRUE
813,Cornwall Council,14,35,2022,29/08/2022,2021/2022,Cornwall,TRUE
819,Cornwall Council,9,36,2022,05/09/2022,2021/2022,Cornwall,TRUE
826,Cornwall Council,11,37,2022,12/09/2022,2021/2022,Cornwall,TRUE
839,Cornwall Council,5,38,2022,19/09/2022,2021/2022,Cornwall,TRUE
849,Cornwall Council,1,39,2022,26/09/2022,2021/2022,Cornwall,TRUE
861,Cornwall,5,40,2022,03/10/2022,2022/2023,Cornwall,TRUE
877,Cornwall,2,41,2022,10/10/2022,2022/2023,Cornwall,TRUE
903,Cornwall,1,42,2022,17/10/2022,2022/2023,Cornwall,TRUE
132,County Durham,3,51,2020,21/12/2020,2020/2021,County Durham,TRUE
133,County Durham,2,51,2020,21/12/2020,2020/2021,County Durham,TRUE
148,County Durham,1,52,2020,28/12/2020,2020/2021,County Durham,TRUE
170,County Durham,1,1,2021,04/01/2021,2020/2021,County Durham,TRUE
370,County Durham,1,51,2021,20/12/2021,2021/2022,County Durham,TRUE
328,Durham,3,49,2021,06/12/2021,2021/2022,County Durham,FALSE
401,Durham,3,1,2022,03/01/2022,2021/2022,County Durham,FALSE
444,Durham,3,3,2022,17/01/2022,2021/2022,County Durham,FALSE
487,Durham,2,5,2022,31/01/2022,2021/2022,County Durham,FALSE
766,Durham,1,29,2022,18/07/2022,2021/2022,County Durham,FALSE
784,Durham,1,31,2022,01/08/2022,2021/2022,County Durham,FALSE
815,Durham,1,35,2022,29/08/2022,2021/2022,County Durham,FALSE
258,Sedgefield,2,47,2021,22/11/2021,2021/2022,County Durham,FALSE
425,Coventry City,2,2,2022,10/01/2022,2021/2022,Coventry,TRUE
904,Coventry City,1,42,2022,17/10/2022,2022/2023,Coventry,TRUE
946,Coventry City,3,44,2022,31/10/2022,2022/2023,Coventry,TRUE
301,Allerdale Borough Council,1,48,2021,29/11/2021,2021/2022,Cumbria,FALSE
320,Allerdale Borough Council,3,49,2021,06/12/2021,2021/2022,Cumbria,FALSE
345,Allerdale Borough Council,2,50,2021,13/12/2021,2021/2022,Cumbria,FALSE
300,Carlisle City Council,2,48,2021,29/11/2021,2021/2022,Cumbria,FALSE
373,Carlisle City Council,1,51,2021,20/12/2021,2021/2022,Cumbria,FALSE
399,Carlisle City Council,1,1,2022,03/01/2022,2021/2022,Cumbria,FALSE
420,Carlisle City Council,3,2,2022,10/01/2022,2021/2022,Cumbria,FALSE
472,Carlisle City Council,1,5,2022,31/01/2022,2021/2022,Cumbria,FALSE
528,Carlisle City Council,2,8,2022,21/02/2022,2021/2022,Cumbria,FALSE
719,Copeland Borough,1,25,2022,20/06/2022,2021/2022,Cumbria,FALSE
88,Cumbria,6,48,2020,30/11/2020,2020/2021,Cumbria,TRUE
155,Cumbria,2,52,2020,28/12/2020,2020/2021,Cumbria,TRUE
209,City of Carlisle,1,45,2021,08/11/2021,2021/2022,Cumbria,FALSE
331,Eden,1,49,2021,06/12/2021,2021/2022,Cumbria,FALSE
442,Eden,1,3,2022,17/01/2022,2021/2022,Cumbria,FALSE
288,City of Carlisle,1,48,2021,29/11/2021,2021/2022,Cumbria,FALSE
226,South Lakeland District Council,2,46,2021,15/11/2021,2021/2022,Cumbria,FALSE
269,South Lakeland District Council,4,47,2021,22/11/2021,2021/2022,Cumbria,FALSE
346,South Lakeland District Council,2,50,2021,13/12/2021,2021/2022,Cumbria,FALSE
437,South Lakeland District Council,1,2,2022,10/01/2022,2021/2022,Cumbria,FALSE
507,South Lakeland District Council,1,6,2022,07/02/2022,2021/2022,Cumbria,FALSE
911,South Lakeland,3,42,2022,17/10/2022,2022/2023,Cumbria,FALSE
993,Darlington,2,46,2022,14/11/2022,2022/2023,Darlington,TRUE
457,Denbighshire,1,4,2022,24/01/2022,2021/2022,Denbighshire,TRUE
947,Derby City,1,44,2022,31/10/2022,2022/2023,Derby,TRUE
650,Amber Valley,1,17,2022,25/04/2022,2021/2022,Derbyshire,FALSE
664,Amber Valley,2,18,2022,02/05/2022,2021/2022,Derbyshire,FALSE
939,Amber Valley,1,44,2022,31/10/2022,2022/2023,Derbyshire,FALSE
965,Amber Valley,2,45,2022,07/11/2022,2022/2023,Derbyshire,FALSE
578,Erewash Borough,1,11,2022,14/03/2022,2021/2022,Derbyshire,FALSE
480,South Derbyshire District,2,5,2022,31/01/2022,2021/2022,Derbyshire,FALSE
8,Devon,1,1,2017,02/01/2017,2016/2017,Devon,TRUE
40,Devon,1,9,2018,26/02/2018,2017/2018,Devon,TRUE
49,Devon,5,46,2020,16/11/2020,2020/2021,Devon,TRUE
59,Devon ,2,47,2020,23/11/2020,2020/2021,Devon,TRUE
65,Devon,1,48,2020,30/11/2020,2020/2021,Devon,TRUE
67,Devon,1,48,2020,30/11/2020,2020/2021,Devon,TRUE
68,Devon,1,48,2020,30/11/2020,2020/2021,Devon,TRUE
85,Devon,1,48,2020,30/11/2020,2020/2021,Devon,TRUE
129,Devon,1,51,2020,21/12/2020,2020/2021,Devon,TRUE
173,Devon,3,2,2021,11/01/2021,2020/2021,Devon,TRUE
178,Devon,3,4,2021,25/01/2021,2020/2021,Devon,TRUE
814,Devon County Council,1,35,2022,29/08/2022,2021/2022,Devon,FALSE
579,Exeter City Council,1,11,2022,14/03/2022,2021/2022,Devon,FALSE
607,Exeter City Council,9,13,2022,28/03/2022,2021/2022,Devon,FALSE
618,Exeter City Council,1,14,2022,04/04/2022,2021/2022,Devon,FALSE
639,Mid Devon,2,15,2022,11/04/2022,2021/2022,Devon,FALSE
654,Mid Devon,7,17,2022,25/04/2022,2021/2022,Devon,FALSE
673,Mid Devon,4,19,2022,09/05/2022,2021/2022,Devon,FALSE
724,Mid Devon,3,25,2022,20/06/2022,2021/2022,Devon,FALSE
800,Mid Devon,1,33,2022,15/08/2022,2021/2022,Devon,FALSE
822,South Hams District Council,2,36,2022,05/09/2022,2021/2022,Devon,FALSE
834,South Hams District Council,1,37,2022,12/09/2022,2021/2022,Devon,FALSE
1003,South Hams,1,46,2022,14/11/2022,2022/2023,Devon,FALSE
329,Teignbridge,1,49,2021,06/12/2021,2021/2022,Devon,FALSE
823,Teignbridge,4,36,2022,05/09/2022,2021/2022,Devon,FALSE
468,Torridge District,2,4,2022,24/01/2022,2021/2022,Devon,FALSE
1032,Torridge,1,47,2022,21/11/2022,2022/2023,Devon,FALSE
438,Doncaster Metropolitan Borough,1,3,2022,17/01/2022,2021/2022,Doncaster,TRUE
486,Doncaster Metropolitan Borough,1,5,2022,31/01/2022,2021/2022,Doncaster,TRUE
550,Doncaster Metropolitan Borough,1,9,2022,28/02/2022,2021/2022,Doncaster,TRUE
745,Castle Point Borough,1,27,2022,04/07/2022,2021/2022,Dorset,FALSE
