,Location (county),Total number of birds testing positive,week,year,date,season,location_2,Match
626,Powys,4,14,2022,04/04/2022,2021/2022,Powys,TRUE
884,Powys,4,41,2022,10/10/2022,2022/2023,Powys,TRUE
1025,Powys,1,47,2022,21/11/2022,2022/2023,Powys,TRUE
885,Redbridge,1,41,2022,10/10/2022,2022/2023,Redbridge,TRUE
930,Redbridge,1,43,2022,24/10/2022,2022/2023,Redbridge,TRUE
958,Redbridge,2,44,2022,31/10/2022,2022/2023,Redbridge,TRUE
983,Redbridge,2,45,2022,07/11/2022,2022/2023,Redbridge,TRUE
706,Redcar and Cleveland Borough,2,24,2022,13/06/2022,2021/2022,Redcar and Cleveland,TRUE
769,Redcar and Cleveland Borough,2,29,2022,18/07/2022,2021/2022,Redcar and Cleveland,TRUE
1002,Redcar and Cleveland,3,46,2022,14/11/2022,2022/2023,Redcar and Cleveland,TRUE
1026,Redcar and Cleveland,3,47,2022,21/11/2022,2022/2023,Redcar and Cleveland,TRUE
431,Renfrewshire,1,2,2022,10/01/2022,2021/2022,Renfrewshire,TRUE
623,London Borough of Richmond upon Thames,1,14,2022,04/04/2022,2021/2022,Richmond upon Thames,FALSE
723,London Borough of Richmond upon Thames,2,25,2022,20/06/2022,2021/2022,Richmond upon Thames,FALSE
749,London Borough of Richmond upon Thames,1,27,2022,04/07/2022,2021/2022,Richmond upon Thames,FALSE
206,Richmondshire,6,45,2021,08/11/2021,2021/2022,Richmond upon Thames,FALSE
886,Richmond upon Thames,1,41,2022,10/10/2022,2022/2023,Richmond upon Thames,TRUE
931,Richmond upon Thames,8,43,2022,24/10/2022,2022/2023,Richmond upon Thames,TRUE
959,Richmond upon Thames,4,44,2022,31/10/2022,2022/2023,Richmond upon Thames,TRUE
402,Richmondshire,1,1,2022,03/01/2022,2021/2022,Richmond upon Thames,FALSE
30,Rutland,9,4,2018,22/01/2018,2017/2018,Rutland,TRUE
887,Rutland,1,41,2022,10/10/2022,2022/2023,Rutland,TRUE
273,Sandwell Metropolitan Borough Council,1,47,2021,22/11/2021,2021/2022,Sandwell,TRUE
376,Sandwell Metropolitan Borough Council,3,51,2021,20/12/2021,2021/2022,Sandwell,TRUE
408,Sandwell Metropolitan Borough Council,1,1,2022,03/01/2022,2021/2022,Sandwell,TRUE
448,Sandwell Metropolitan Borough Council,1,3,2022,17/01/2022,2021/2022,Sandwell,TRUE
296,Scottish Borders,1,48,2021,29/11/2021,2021/2022,Scottish Borders,TRUE
338,Scottish Borders,1,49,2021,06/12/2021,2021/2022,Scottish Borders,TRUE
358,Scottish Borders,1,50,2021,13/12/2021,2021/2022,Scottish Borders,TRUE
392,Scottish Borders,2,52,2021,27/12/2021,2021/2022,Scottish Borders,TRUE
415,Scottish Borders,1,1,2022,03/01/2022,2021/2022,Scottish Borders,TRUE
432,Scottish Borders,3,2,2022,10/01/2022,2021/2022,Scottish Borders,TRUE
441,Scottish Borders,2,3,2022,17/01/2022,2021/2022,Scottish Borders,TRUE
558,Scottish Borders,1,9,2022,28/02/2022,2021/2022,Scottish Borders,TRUE
571,Scottish Borders,1,10,2022,07/03/2022,2021/2022,Scottish Borders,TRUE
642,Scottish Borders,1,15,2022,11/04/2022,2021/2022,Scottish Borders,TRUE
708,Scottish Borders,1,24,2022,13/06/2022,2021/2022,Scottish Borders,TRUE
760,Scottish Borders,2,28,2022,11/07/2022,2021/2022,Scottish Borders,TRUE
852,Scottish Borders,3,39,2022,26/09/2022,2021/2022,Scottish Borders,TRUE
984,Scottish Borders,4,45,2022,07/11/2022,2022/2023,Scottish Borders,TRUE
223,Sefton Metropolitan Borough Council,3,46,2021,15/11/2021,2021/2022,Sefton,TRUE
246,Sefton Metropolitan Borough Council,3,47,2021,22/11/2021,2021/2022,Sefton,TRUE
298,Sefton Metropolitan Borough Council,3,48,2021,29/11/2021,2021/2022,Sefton,TRUE
490,Sefton Metropolitan Borough Council,1,5,2022,31/01/2022,2021/2022,Sefton,TRUE
403,Sheffield City Council,3,1,2022,03/01/2022,2021/2022,Sheffield,TRUE
186,"Shetland, Scotland",3,30,2021,26/07/2021,2020/2021,Shetland Islands,FALSE
659,Shetland Islands,4,17,2022,25/04/2022,2021/2022,Shetland Islands,TRUE
679,Shetland Islands,3,20,2022,16/05/2022,2021/2022,Shetland Islands,TRUE
690,Shetland Islands,1,23,2022,06/06/2022,2021/2022,Shetland Islands,TRUE
709,Shetland Islands,21,24,2022,13/06/2022,2021/2022,Shetland Islands,TRUE
770,Shetland Islands,7,29,2022,18/07/2022,2021/2022,Shetland Islands,TRUE
853,Shetland Islands,1,39,2022,26/09/2022,2021/2022,Shetland Islands,TRUE
162,Shropshire,1,52,2020,28/12/2020,2020/2021,Shropshire,TRUE
315,Shropshire,2,48,2021,29/11/2021,2021/2022,Shropshire,TRUE
333,Shropshire,1,49,2021,06/12/2021,2021/2022,Shropshire,TRUE
356,Shropshire,2,50,2021,13/12/2021,2021/2022,Shropshire,TRUE
433,Shropshire,3,2,2022,10/01/2022,2021/2022,Shropshire,TRUE
909,Shropshire,1,42,2022,17/10/2022,2022/2023,Shropshire,TRUE
888,Solihull Metropolitan,4,41,2022,10/10/2022,2022/2023,Solihull,TRUE
932,Solihull Metropolitan,1,43,2022,24/10/2022,2022/2023,Solihull,TRUE
311,Cheddar,1,48,2021,29/11/2021,2021/2022,Somerset,FALSE
359,Mendip District Council,1,50,2021,13/12/2021,2021/2022,Somerset,FALSE
585,Sedgemoor District,1,11,2022,14/03/2022,2021/2022,Somerset,FALSE
908,Sedgemoor,1,42,2022,17/10/2022,2022/2023,Somerset,FALSE
960,Sedgemoor,2,44,2022,31/10/2022,2022/2023,Somerset,FALSE
1029,Sedgemoor,1,47,2022,21/11/2022,2022/2023,Somerset,FALSE
3,Somerset,1,51,2016,19/12/2016,2016/2017,Somerset,TRUE
17,Somerset,1,3,2017,16/01/2017,2016/2017,Somerset,TRUE
24,Somerset,1,11,2017,13/03/2017,2016/2017,Somerset,TRUE
910,Somerset West and Taunton,3,42,2022,17/10/2022,2022/2023,Somerset,FALSE
467,South Ayrshire Council,1,4,2022,24/01/2022,2021/2022,South Ayrshire,TRUE
780,South Ayrshire Council,9,30,2022,25/07/2022,2021/2022,South Ayrshire,TRUE
290,South Lanarkshire,1,48,2021,29/11/2021,2021/2022,South Lanarkshire,TRUE
353,South Lanarkshire,1,50,2021,13/12/2021,2021/2022,South Lanarkshire,TRUE
381,South Lanarkshire,1,52,2021,27/12/2021,2021/2022,South Lanarkshire,TRUE
384,South Lanarkshire,1,52,2021,27/12/2021,2021/2022,South Lanarkshire,TRUE
440,South Lanarkshire,1,3,2022,17/01/2022,2021/2022,South Lanarkshire,TRUE
559,South Lanarkshire,1,9,2022,28/02/2022,2021/2022,South Lanarkshire,TRUE
572,South Lanarkshire,1,10,2022,07/03/2022,2021/2022,South Lanarkshire,TRUE
597,South Lanarkshire,1,12,2022,21/03/2022,2021/2022,South Lanarkshire,TRUE
613,South Lanarkshire,1,13,2022,28/03/2022,2021/2022,South Lanarkshire,TRUE
380,South Tyneside,3,52,2021,27/12/2021,2021/2022,South Tyneside,TRUE
434,South Tyneside,2,2,2022,10/01/2022,2021/2022,South Tyneside,TRUE
514,South Tyneside,1,7,2022,14/02/2022,2021/2022,South Tyneside,TRUE
750,South Tyneside,2,27,2022,04/07/2022,2021/2022,South Tyneside,TRUE
794,South Tyneside,5,32,2022,08/08/2022,2021/2022,South Tyneside,TRUE
475,East Staffordshire Borough,2,5,2022,31/01/2022,2021/2022,Staffordshire,FALSE
516,East Staffordshire Borough,1,7,2022,14/02/2022,2021/2022,Staffordshire,FALSE
219,Lichfield,2,46,2021,15/11/2021,2021/2022,Staffordshire,FALSE
241,Lichfield District Council,2,46,2021,15/11/2021,2021/2022,Staffordshire,FALSE
267,Lichfield District Council,2,47,2021,22/11/2021,2021/2022,Staffordshire,FALSE
954,Lichfield,2,44,2022,31/10/2022,2022/2023,Staffordshire,FALSE
883,Newcastle-under-Lyme,2,41,2022,10/10/2022,2022/2023,Staffordshire,FALSE
660,South Staffordshire,1,17,2022,25/04/2022,2021/2022,Staffordshire,FALSE
985,South Staffordshire,1,45,2022,07/11/2022,2022/2023,Staffordshire,FALSE
1005,Stafford,1,46,2022,14/11/2022,2022/2023,Staffordshire,FALSE
74,Staffordshire,1,48,2020,30/11/2020,2020/2021,Staffordshire,TRUE
184,Staffordshire,6,15,2021,12/04/2021,2020/2021,Staffordshire,TRUE
476,Staffordshire Moorlands District,1,5,2022,31/01/2022,2021/2022,Staffordshire,FALSE
889,Staffordshire Moorlands,2,41,2022,10/10/2022,2022/2023,Staffordshire,FALSE
933,Staffordshire Moorlands,3,43,2022,24/10/2022,2022/2023,Staffordshire,FALSE
962,Staffordshire Moorlands,1,44,2022,31/10/2022,2022/2023,Staffordshire,FALSE
1030,Staffordshire Moorlands,1,47,2022,21/11/2022,2022/2023,Staffordshire,FALSE
508,Stirling,1,6,2022,07/02/2022,2021/2022,Stirling,TRUE
675,Stirling,2,19,2022,09/05/2022,2021/2022,Stirling,TRUE
890,Stirling,1,41,2022,10/10/2022,2022/2023,Stirling,TRUE
231,Stockport Metropolitan Borough Council,2,46,2021,15/11/2021,2021/2022,Stockport,TRUE
391,Stockport Metropolitan Borough Council,1,52,2021,27/12/2021,2021/2022,Stockport,TRUE
413,Stockport Metropolitan Borough Council,1,1,2022,03/01/2022,2021/2022,Stockport,TRUE
239,Stockton-on-Tees Borough Council,1,46,2021,15/11/2021,2021/2022,Stockton-on-Tees,TRUE
308,Stockton-on-Tees Borough Council,3,48,2021,29/11/2021,2021/2022,Stockton-on-Tees,TRUE
1006,Stockton-on-Tees,4,46,2022,14/11/2022,2022/2023,Stockton-on-Tees,TRUE
1031,Stockton-on-Tees,2,47,2022,21/11/2022,2022/2023,Stockton-on-Tees,TRUE
802,Stoke-on-Trent City Council,2,33,2022,15/08/2022,2021/2022,Stoke-on-Trent,TRUE
870,Stoke-on-Trent,3,40,2022,03/10/2022,2022/2023,Stoke-on-Trent,TRUE
934,Stoke-on-Trent,4,43,2022,24/10/2022,2022/2023,Stoke-on-Trent,TRUE
986,Stoke-on-Trent,4,45,2022,07/11/2022,2022/2023,Stoke-on-Trent,TRUE
874,Babergh,5,41,2022,10/10/2022,2022/2023,Suffolk,FALSE
919,Babergh,4,43,2022,24/10/2022,2022/2023,Suffolk,FALSE
41,Suffolk,1,9,2018,26/02/2018,2017/2018,Suffolk,TRUE
44,Suffolk,2,13,2018,26/03/2018,2017/2018,Suffolk,TRUE
45,Suffolk - new report from previously reported location,2,14,2018,02/04/2018,2017/2018,Suffolk,TRUE
46,Suffolk - new report from previously reported location,1,16,2018,16/04/2018,2017/2018,Suffolk,TRUE
72,Suffolk,1,48,2020,30/11/2020,2020/2021,Suffolk,TRUE
257,East Suffolk District Council,2,47,2021,22/11/2021,2021/2022,Suffolk,TRUE
443,Mid Suffolk,1,3,2022,17/01/2022,2021/2022,Suffolk,TRUE
700,East Suffolk District Council,3,24,2022,13/06/2022,2021/2022,Suffolk,TRUE
851,Mid Suffolk,1,39,2022,26/09/2022,2021/2022,Suffolk,TRUE
857,West Suffolk,1,39,2022,26/09/2022,2021/2022,Suffolk,TRUE
879,East Suffolk,3,41,2022,10/10/2022,2022/2023,Suffolk,TRUE
881,Mid Suffolk,3,41,2022,10/10/2022,2022/2023,Suffolk,TRUE
895,West Suffolk,5,41,2022,10/10/2022,2022/2023,Suffolk,TRUE
923,East Suffolk,1,43,2022,24/10/2022,2022/2023,Suffolk,TRUE
978,Mid Suffolk,1,45,2022,07/11/2022,2022/2023,Suffolk,TRUE
13,Tyne & Wear,1,2,2017,09/01/2017,2016/2017,Sunderland,FALSE
307,Sunderland City Council,6,48,2021,29/11/2021,2021/2022,Sunderland,TRUE
335,Sunderland City Council,2,49,2021,06/12/2021,2021/2022,Sunderland,TRUE
363,Sunderland City Council,3,51,2021,20/12/2021,2021/2022,Sunderland,TRUE
661,Sunderland,1,17,2022,25/04/2022,2021/2022,Sunderland,TRUE
751,Sunderland,1,27,2022,04/07/2022,2021/2022,Sunderland,TRUE
809,Sunderland,1,34,2022,22/08/2022,2021/2022,Sunderland,TRUE
892,Sunderland City Council,1,41,2022,10/10/2022,2022/2023,Sunderland,TRUE
987,Sunderland City Council,1,45,2022,07/11/2022,2022/2023,Sunderland,TRUE
974,Elmbridge,2,45,2022,07/11/2022,2022/2023,Surrey,FALSE
1027,Runnymede,1,47,2022,21/11/2022,2022/2023,Surrey,FALSE
961,Spelthorne,1,44,2022,31/10/2022,2022/2023,Surrey,FALSE
33,Surrey,2,5,2018,29/01/2018,2017/2018,Surrey,TRUE
35,Surrey,1,5,2018,29/01/2018,2017/2018,Surrey,TRUE
38,Surrey,2,9,2018,26/02/2018,2017/2018,Surrey,TRUE
80,Surrey,1,48,2020,30/11/2020,2020/2021,Surrey,TRUE
901,City and County of Swansea,2,42,2022,17/10/2022,2022/2023,Swansea,FALSE
662,Swindon,1,17,2022,25/04/2022,2021/2022,Swindon,TRUE
872,Swindon,3,40,2022,03/10/2022,2022/2023,Swindon,TRUE
963,Swindon,1,44,2022,31/10/2022,2022/2023,Swindon,TRUE
771,Thurrock Council,2,29,2022,18/07/2022,2021/2022,Thurrock,TRUE
630,Torbay Council,1,14,2022,04/04/2022,2021/2022,Torbay,TRUE
824,Torbay Council,2,36,2022,05/09/2022,2021/2022,Torbay,TRUE
478,Trafford Metropolitan Borough,1,5,2022,31/01/2022,2021/2022,Trafford,TRUE
42,South Glamorgan,1,9,2018,26/02/2018,2017/2018,Vale of Glamorgan,FALSE
510,Vale of Glamorgan,1,6,2022,07/02/2022,2021/2022,Vale of Glamorgan,TRUE
520,Vale of Glamorgan,1,7,2022,14/02/2022,2021/2022,Vale of Glamorgan,TRUE
540,Vale of Glamorgan,3,8,2022,21/02/2022,2021/2022,Vale of Glamorgan,TRUE
560,Vale of Glamorgan,1,9,2022,28/02/2022,2021/2022,Vale of Glamorgan,TRUE
573,Vale of Glamorgan,1,10,2022,07/03/2022,2021/2022,Vale of Glamorgan,TRUE
598,Vale of Glamorgan,1,12,2022,21/03/2022,2021/2022,Vale of Glamorgan,TRUE
631,Vale of Glamorgan,1,14,2022,04/04/2022,2021/2022,Vale of Glamorgan,TRUE
648,Vale of Glamorgan,2,16,2022,18/04/2022,2021/2022,Vale of Glamorgan,TRUE
893,Vale of Glamorgan,3,41,2022,10/10/2022,2022/2023,Vale of Glamorgan,TRUE
912,Vale of Glamorgan,3,42,2022,17/10/2022,2022/2023,Vale of Glamorgan,TRUE
937,Wakefield Metropolitan,1,43,2022,24/10/2022,2022/2023,Wakefield,TRUE
1033,Wakefield,5,47,2022,21/11/2022,2022/2023,Wakefield,TRUE
245,Walsall Metropolitan Borough Council,2,46,2021,15/11/2021,2021/2022,Walsall,TRUE
266,Walsall Metropolitan Borough Council,2,47,2021,22/11/2021,2021/2022,Walsall,TRUE
274,Walsall Metropolitan Borough Council,1,47,2021,22/11/2021,2021/2022,Walsall,TRUE
330,Walsall Metropolitan Borough Council,2,49,2021,06/12/2021,2021/2022,Walsall,TRUE
375,Walsall Metropolitan Borough Council,3,51,2021,20/12/2021,2021/2022,Walsall,TRUE
406,Walsall Metropolitan Borough Council,1,1,2022,03/01/2022,2021/2022,Walsall,TRUE
435,Walsall Metropolitan Borough Council,1,2,2022,10/01/2022,2021/2022,Walsall,TRUE
439,Walsall Metropolitan Borough Council,1,3,2022,17/01/2022,2021/2022,Walsall,TRUE
469,Walsall Metropolitan Borough Council,3,4,2022,24/01/2022,2021/2022,Walsall,TRUE
988,Waltham Forest,2,45,2022,07/11/2022,2022/2023,Waltham Forest,TRUE
387,Warrington,1,52,2021,27/12/2021,2021/2022,Warrington,TRUE
477,Warrington,1,5,2022,31/01/2022,2021/2022,Warrington,TRUE
287,Stratford-on-Avon District Council,7,48,2021,29/11/2021,2021/2022,Warwickshire,FALSE
676,Stratford-on-Avon District Council,1,19,2022,09/05/2022,2021/2022,Warwickshire,FALSE
917,Stratford-on-Avon,1,42,2022,17/10/2022,2022/2023,Warwickshire,FALSE
1034,Warwick,2,47,2022,21/11/2022,2022/2023,Warwickshire,FALSE
27,Warwickshire,13,3,2018,15/01/2018,2017/2018,Warwickshire,TRUE
36,Warwickshire,1,5,2018,29/01/2018,2017/2018,Warwickshire,TRUE
71,Warwarckshire,1,48,2020,30/11/2020,2020/2021,Warwickshire,FALSE
86,Warwickshire,1,48,2020,30/11/2020,2020/2021,Warwickshire,TRUE
97,Warwickshire,1,49,2020,07/12/2020,2020/2021,Warwickshire,TRUE
108,Warwickshire,2,50,2020,14/12/2020,2020/2021,Warwickshire,TRUE
150,Warwickshire,1,52,2020,28/12/2020,2020/2021,Warwickshire,TRUE
165,Warwarkshire,1,53,2020,04/01/2021,2020/2021,Warwickshire,FALSE
172,Warwickshire,1,1,2021,04/01/2021,2020/2021,Warwickshire,TRUE
198,(Warwickshire),1,44,2021,01/11/2021,2021/2022,Warwickshire,TRUE
199,(Warwickshire),4,44,2021,01/11/2021,2021/2022,Warwickshire,TRUE
205,Stratford-on-Avon District Council,33,45,2021,08/11/2021,2021/2022,Warwickshire,FALSE
683,North Warwickshire,1,22,2022,30/05/2022,2021/2022,Warwickshire,TRUE
32,Berkshire,5,5,2018,29/01/2018,2017/2018,West Berkshire,FALSE
322,West Berkshire Council,3,49,2021,06/12/2021,2021/2022,West Berkshire,TRUE
542,West Lothian,1,8,2022,21/02/2022,2021/2022,West Lothian,TRUE
574,West Lothian,1,10,2022,07/03/2022,2021/2022,West Lothian,TRUE
587,West Lothian,1,11,2022,14/03/2022,2021/2022,West Lothian,TRUE
272,West Northamptonshire,1,47,2021,22/11/2021,2021/2022,West Northamptonshire,TRUE
306,West Northamptonshire,1,48,2021,29/11/2021,2021/2022,West Northamptonshire,TRUE
914,West Northamptonshire,3,42,2022,17/10/2022,2022/2023,West Northamptonshire,TRUE
990,West Northamptonshire,1,45,2022,07/11/2022,2022/2023,West Northamptonshire,TRUE
218,Arun District Council,1,46,2021,15/11/2021,2021/2022,West Sussex,FALSE
601,Arun District Council,1,13,2022,28/03/2022,2021/2022,West Sussex,FALSE
670,Arun District Council,1,19,2022,09/05/2022,2021/2022,West Sussex,FALSE
695,Arun District Council,1,24,2022,13/06/2022,2021/2022,West Sussex,FALSE
715,Arun District Council,1,25,2022,20/06/2022,2021/2022,West Sussex,FALSE
726,Arun District Council,3,26,2022,27/06/2022,2021/2022,West Sussex,FALSE
742,Arun District Council,3,27,2022,04/07/2022,2021/2022,West Sussex,FALSE
772,Arun District Council,1,30,2022,25/07/2022,2021/2022,West Sussex,FALSE
873,Arun,1,41,2022,10/10/2022,2022/2023,West Sussex,FALSE
896,Arun,1,42,2022,17/10/2022,2022/2023,West Sussex,FALSE
940,Arun,1,44,2022,31/10/2022,2022/2023,West Sussex,FALSE
746,Chichester,4,27,2022,04/07/2022,2021/2022,West Sussex,FALSE
970,Chichester,2,45,2022,07/11/2022,2022/2023,West Sussex,FALSE
924,Horsham,1,43,2022,24/10/2022,2022/2023,West Sussex,FALSE
357,Wigan Metropolitan Borough,2,50,2021,13/12/2021,2021/2022,Wigan,TRUE
588,Wigan Metropolitan Borough,1,11,2022,14/03/2022,2021/2022,Wigan,TRUE
1028,Salisbury,1,47,2022,21/11/2022,2022/2023,Wiltshire,FALSE
211,"Pewsey, Wilts",1,45,2021,08/11/2021,2021/2022,Wiltshire,FALSE
915,Wiltshire,2,42,2022,17/10/2022,2022/2023,Wiltshire,TRUE
964,Wiltshire,3,44,2022,31/10/2022,2022/2023,Wiltshire,TRUE
414,Wirral,2,1,2022,03/01/2022,2021/2022,Wirral,TRUE
436,Wirral,1,2,2022,10/01/2022,2021/2022,Wirral,TRUE
470,Wirral,1,4,2022,24/01/2022,2021/2022,Wirral,TRUE
488,Wirral,1,5,2022,31/01/2022,2021/2022,Wirral,TRUE
543,Wirral,1,8,2022,21/02/2022,2021/2022,Wirral,TRUE
213,Wokingham BoroughÂ ,1,45,2021,08/11/2021,2021/2022,Wokingham,TRUE
286,Wokingham,1,48,2021,29/11/2021,2021/2022,Wokingham,TRUE
323,Wokingham,1,49,2021,06/12/2021,2021/2022,Wokingham,TRUE
350,City of Wolverhampton Council,4,50,2021,13/12/2021,2021/2022,Wolverhampton,FALSE
389,City of Wolverhampton Council,2,52,2021,27/12/2021,2021/2022,Wolverhampton,FALSE
407,City of Wolverhampton Council,3,1,2022,03/01/2022,2021/2022,Wolverhampton,FALSE
945,City of Wolverhampton,1,44,2022,31/10/2022,2022/2023,Wolverhampton,FALSE
968,Bromsgrove,1,45,2022,07/11/2022,2022/2023,Worcestershire,FALSE
916,Worcester City,3,42,2022,17/10/2022,2022/2023,Worcestershire,FALSE
98,Worcestershire,5,50,2020,14/12/2020,2020/2021,Worcestershire,TRUE
111,Worcestershire,6,50,2020,14/12/2020,2020/2021,Worcestershire,TRUE
139,Worcestershire,1,51,2020,21/12/2020,2020/2021,Worcestershire,TRUE
195,(Worcestershire),4,44,2021,01/11/2021,2021/2022,Worcestershire,TRUE
214,Malvern Hills District Council,3,45,2021,08/11/2021,2021/2022,Worcestershire,FALSE
632,Wychavon,3,14,2022,04/04/2022,2021/2022,Worcestershire,FALSE
189,"(Wrexham, Wales)",5,43,2021,25/10/2021,2021/2022,Wrexham,FALSE
992,City of York,4,46,2022,14/11/2022,2022/2023,York,FALSE
1036,York,2,47,2022,21/11/2022,2022/2023,York,TRUE
