,Location (county),Total number of birds testing positive,week,year,date,season
687,Moray,2,23,2022,2022-06-06,2021/2022
688,North West Leicestershire,1,23,2022,2022-06-06,2021/2022
689,Orkney Islands,5,23,2022,2022-06-06,2021/2022
690,Shetland Islands,1,23,2022,2022-06-06,2021/2022
691,Rother District Council,1,23,2022,2022-06-06,2021/2022
692,Aberdeen,9,24,2022,2022-06-13,2021/2022
693,Aberdeenshire,9,24,2022,2022-06-13,2021/2022
694,Angus,8,24,2022,2022-06-13,2021/2022
695,Arun District Council,1,24,2022,2022-06-13,2021/2022
696,Brighton and Hove City Council,3,24,2022,2022-06-13,2021/2022
697,City of Edinburgh,2,24,2022,2022-06-13,2021/2022
698,Dover,4,24,2022,2022-06-13,2021/2022
699,East Lothian,9,24,2022,2022-06-13,2021/2022
700,East Suffolk District Council,3,24,2022,2022-06-13,2021/2022
701,Fife,17,24,2022,2022-06-13,2021/2022
702,Hartlepool Borough Council,4,24,2022,2022-06-13,2021/2022
703,Highland,4,24,2022,2022-06-13,2021/2022
704,Northumberland,19,24,2022,2022-06-13,2021/2022
705,Orkney,3,24,2022,2022-06-13,2021/2022
706,Redcar and Cleveland Borough,2,24,2022,2022-06-13,2021/2022
707,Rother District Council,23,24,2022,2022-06-13,2021/2022
708,Scottish Borders,1,24,2022,2022-06-13,2021/2022
709,Shetland Islands,21,24,2022,2022-06-13,2021/2022
710,Western Isles,4,24,2022,2022-06-13,2021/2022
711,Aberdeen,3,25,2022,2022-06-20,2021/2022
712,Aberdeenshire,7,25,2022,2022-06-20,2021/2022
713,Anglesey,1,25,2022,2022-06-20,2021/2022
714,Angus,6,25,2022,2022-06-20,2021/2022
715,Arun District Council,1,25,2022,2022-06-20,2021/2022
716,Borough Council of Kings Lynn and West Norfolk,1,25,2022,2022-06-20,2021/2022
717,Carmarthenshire,1,25,2022,2022-06-20,2021/2022
718,Ceredigion,2,25,2022,2022-06-20,2021/2022
719,Copeland Borough,1,25,2022,2022-06-20,2021/2022
720,Dumfries and Galloway,1,25,2022,2022-06-20,2021/2022
721,Fife,4,25,2022,2022-06-20,2021/2022
722,Highland,2,25,2022,2022-06-20,2021/2022
723,London Borough of Richmond upon Thames,2,25,2022,2022-06-20,2021/2022
724,Mid Devon,3,25,2022,2022-06-20,2021/2022
725,Northumberland,3,25,2022,2022-06-20,2021/2022
726,Arun District Council,3,26,2022,2022-06-27,2021/2022
727,Brighton and Hove City Council,4,26,2022,2022-06-27,2021/2022
728,Craven District Council,1,26,2022,2022-06-27,2021/2022
729,Dorset,5,26,2022,2022-06-27,2021/2022
730,Eastbourne Borough Council,3,26,2022,2022-06-27,2021/2022
731,Fife,1,26,2022,2022-06-27,2021/2022
732,Folkestone and Hythe District Council,2,26,2022,2022-06-27,2021/2022
733,Harrogate,1,26,2022,2022-06-27,2021/2022
734,Hastings Borough Council,1,26,2022,2022-06-27,2021/2022
735,Highland,1,26,2022,2022-06-27,2021/2022
736,Lewes,10,26,2022,2022-06-27,2021/2022
737,Northumberland,7,26,2022,2022-06-27,2021/2022
738,Rother District Council,12,26,2022,2022-06-27,2021/2022
739,Wealden District Council,1,26,2022,2022-06-27,2021/2022
740,Aberdeenshire,3,27,2022,2022-07-04,2021/2022
741,Angus,8,27,2022,2022-07-04,2021/2022
742,Arun District Council,3,27,2022,2022-07-04,2021/2022
743,Basildon Borough,4,27,2022,2022-07-04,2021/2022
744,Braintree District,1,27,2022,2022-07-04,2021/2022
745,Castle Point Borough,1,27,2022,2022-07-04,2021/2022
746,Chichester,4,27,2022,2022-07-04,2021/2022
747,Dorset,7,27,2022,2022-07-04,2021/2022
748,Highland,20,27,2022,2022-07-04,2021/2022
749,London Borough of Richmond upon Thames,1,27,2022,2022-07-04,2021/2022
750,South Tyneside,2,27,2022,2022-07-04,2021/2022
751,Sunderland,1,27,2022,2022-07-04,2021/2022
752,Angus,4,28,2022,2022-07-11,2021/2022
753,Argyll and Bute,2,28,2022,2022-07-11,2021/2022
754,Borough Council of Kings Lynn and West Norfolk,4,28,2022,2022-07-11,2021/2022
755,Cornwall,1,28,2022,2022-07-11,2021/2022
756,Fife,2,28,2022,2022-07-11,2021/2022
757,Highland,2,28,2022,2022-07-11,2021/2022
758,Mansfield,1,28,2022,2022-07-11,2021/2022
759,Moray,1,28,2022,2022-07-11,2021/2022
760,Scottish Borders,2,28,2022,2022-07-11,2021/2022
761,Aberdeenshire,1,29,2022,2022-07-18,2021/2022
762,Argyll and Bute,3,29,2022,2022-07-18,2021/2022
763,Bristol,1,29,2022,2022-07-18,2021/2022
764,Castle Point Borough,1,29,2022,2022-07-18,2021/2022
765,Dorset,5,29,2022,2022-07-18,2021/2022
766,Durham,1,29,2022,2022-07-18,2021/2022
767,Highland,1,29,2022,2022-07-18,2021/2022
768,Moray,5,29,2022,2022-07-18,2021/2022
769,Redcar and Cleveland Borough,2,29,2022,2022-07-18,2021/2022
770,Shetland Islands,7,29,2022,2022-07-18,2021/2022
771,Thurrock Council,2,29,2022,2022-07-18,2021/2022
772,Arun District Council,1,30,2022,2022-07-25,2021/2022
773,Dorset,5,30,2022,2022-07-25,2021/2022
774,Huntingdonshire District,2,30,2022,2022-07-25,2021/2022
775,North Ayrshire Council,3,30,2022,2022-07-25,2021/2022
776,North Tyneside,2,30,2022,2022-07-25,2021/2022
777,North Yorkshire,3,30,2022,2022-07-25,2021/2022
778,Northumberland,9,30,2022,2022-07-25,2021/2022
779,Orkney Islands,1,30,2022,2022-07-25,2021/2022
780,South Ayrshire Council,9,30,2022,2022-07-25,2021/2022
781,Aberdeenshire,3,31,2022,2022-08-01,2021/2022
782,Angus,3,31,2022,2022-08-01,2021/2022
783,Argyll and Bute,1,31,2022,2022-08-01,2021/2022
784,Durham,1,31,2022,2022-08-01,2021/2022
785,Fife,3,31,2022,2022-08-01,2021/2022
786,Highland,2,31,2022,2022-08-01,2021/2022
787,Nottingham City Council,3,31,2022,2022-08-01,2021/2022
788,Pembrokeshire,4,31,2022,2022-08-01,2021/2022
789,Northumberland,2,32,2022,2022-08-08,2021/2022
790,Fife,1,32,2022,2022-08-08,2021/2022
791,Moray,1,32,2022,2022-08-08,2021/2022
792,Huntingdonshire District,4,32,2022,2022-08-08,2021/2022
793,Leicester City Council,3,32,2022,2022-08-08,2021/2022
794,South Tyneside,5,32,2022,2022-08-08,2021/2022
795,Aberdeenshire,2,33,2022,2022-08-15,2021/2022
796,Argyll and Bute,1,33,2022,2022-08-15,2021/2022
797,Cornwall,2,33,2022,2022-08-15,2021/2022
798,East Riding of Yorkshire,2,33,2022,2022-08-15,2021/2022
799,Hastings Borough Council,1,33,2022,2022-08-15,2021/2022
800,Mid Devon,1,33,2022,2022-08-15,2021/2022
801,North West Leicestershire,3,33,2022,2022-08-15,2021/2022
802,Stoke-on-Trent City Council,2,33,2022,2022-08-15,2021/2022
803,Western Isles,1,33,2022,2022-08-15,2021/2022
804,Cornwall,3,34,2022,2022-08-22,2021/2022
805,Hartlepool Borough Council,1,34,2022,2022-08-22,2021/2022
806,Highland,1,34,2022,2022-08-22,2021/2022
807,Leicester City Council,1,34,2022,2022-08-22,2021/2022
808,Pembrokeshire,1,34,2022,2022-08-22,2021/2022
809,Sunderland,1,34,2022,2022-08-22,2021/2022
810,Canterbury District Council,1,34,2022,2022-08-22,2021/2022
811,Blackpool Borough Council,1,35,2022,2022-08-29,2021/2022
812,Ceredigion County Council,2,35,2022,2022-08-29,2021/2022
813,Cornwall Council,14,35,2022,2022-08-29,2021/2022
814,Devon County Council,1,35,2022,2022-08-29,2021/2022
815,Durham,1,35,2022,2022-08-29,2021/2022
816,Isles of Scilly,2,35,2022,2022-08-29,2021/2022
817,Norfolk County Council,6,35,2022,2022-08-29,2021/2022
818,Carmarthenshire,1,36,2022,2022-09-05,2021/2022
819,Cornwall Council,9,36,2022,2022-09-05,2021/2022
820,Fife,1,36,2022,2022-09-05,2021/2022
821,Plymouth City Council,1,36,2022,2022-09-05,2021/2022
822,South Hams District Council,2,36,2022,2022-09-05,2021/2022
823,Teignbridge,4,36,2022,2022-09-05,2021/2022
824,Torbay Council,2,36,2022,2022-09-05,2021/2022
825,Cheshire East,6,37,2022,2022-09-12,2021/2022
826,Cornwall Council,11,37,2022,2022-09-12,2021/2022
827,East Devon,2,37,2022,2022-09-12,2021/2022
828,East Riding of Yorkshire,1,37,2022,2022-09-12,2021/2022
829,Gwynedd Council,8,37,2022,2022-09-12,2021/2022
830,New Forest,1,37,2022,2022-09-12,2021/2022
831,Pembrokeshire,1,37,2022,2022-09-12,2021/2022
832,Plymouth City Council,2,37,2022,2022-09-12,2021/2022
833,Scarborough Borough,4,37,2022,2022-09-12,2021/2022
834,South Hams District Council,1,37,2022,2022-09-12,2021/2022
835,Stroud,3,37,2022,2022-09-12,2021/2022
836,Western Isles,1,37,2022,2022-09-12,2021/2022
837,"Bournemouth, Christchurch and Poole Council",1,38,2022,2022-09-19,2021/2022
838,Cheshire East,4,38,2022,2022-09-19,2021/2022
839,Cornwall Council,5,38,2022,2022-09-19,2021/2022
840,Cotswold District,1,38,2022,2022-09-19,2021/2022
841,Hartlepool Borough Council,1,38,2022,2022-09-19,2021/2022
842,Highland,3,38,2022,2022-09-19,2021/2022
843,Stroud,4,38,2022,2022-09-19,2021/2022
844,Western Isles,1,38,2022,2022-09-19,2021/2022
845,Bedford Borough,5,39,2022,2022-09-26,2021/2022
846,Broadland District,1,39,2022,2022-09-26,2021/2022
847,Carmarthenshire,1,39,2022,2022-09-26,2021/2022
848,Cheshire East,4,39,2022,2022-09-26,2021/2022
849,Cornwall Council,1,39,2022,2022-09-26,2021/2022
850,Dorset,1,39,2022,2022-09-26,2021/2022
851,Mid Suffolk,1,39,2022,2022-09-26,2021/2022
852,Scottish Borders,3,39,2022,2022-09-26,2021/2022
853,Shetland Islands,1,39,2022,2022-09-26,2021/2022
854,South Kesteven District,5,39,2022,2022-09-26,2021/2022
855,Stroud,2,39,2022,2022-09-26,2021/2022
856,West Lancashire Borough,1,39,2022,2022-09-26,2021/2022
857,West Suffolk,1,39,2022,2022-09-26,2021/2022
858,Broadland,2,40,2022,2022-10-03,2022/2023
859,Carmarthenshire,1,40,2022,2022-10-03,2022/2023
860,Cheshire East,2,40,2022,2022-10-03,2022/2023
861,Cornwall,5,40,2022,2022-10-03,2022/2023
862,Falkirk,1,40,2022,2022-10-03,2022/2023
863,Highland,1,40,2022,2022-10-03,2022/2023
864,Hinckley and Bosworth,2,40,2022,2022-10-03,2022/2023
865,King's Lynn,1,40,2022,2022-10-03,2022/2023
866,Lancaster,5,40,2022,2022-10-03,2022/2023
867,Maidstone,2,40,2022,2022-10-03,2022/2023
868,Newport,2,40,2022,2022-10-03,2022/2023
869,Pembrokeshire,1,40,2022,2022-10-03,2022/2023
870,Stoke-on-Trent,3,40,2022,2022-10-03,2022/2023
871,Stroud,4,40,2022,2022-10-03,2022/2023
872,Swindon,3,40,2022,2022-10-03,2022/2023
873,Arun,1,41,2022,2022-10-10,2022/2023
874,Babergh,5,41,2022,2022-10-10,2022/2023
875,Cheshire East,1,41,2022,2022-10-10,2022/2023
876,Colchester,6,41,2022,2022-10-10,2022/2023
877,Cornwall,2,41,2022,2022-10-10,2022/2023
878,Dudley Metropolitan Borough,3,41,2022,2022-10-10,2022/2023
879,East Suffolk,3,41,2022,2022-10-10,2022/2023
880,King's Lynn and West Norfolk,1,41,2022,2022-10-10,2022/2023
881,Mid Suffolk,3,41,2022,2022-10-10,2022/2023
882,Newcastle City Council,1,41,2022,2022-10-10,2022/2023
883,Newcastle-under-Lyme,2,41,2022,2022-10-10,2022/2023
884,Powys,4,41,2022,2022-10-10,2022/2023
885,Redbridge,1,41,2022,2022-10-10,2022/2023
886,Richmond upon Thames,1,41,2022,2022-10-10,2022/2023
887,Rutland,1,41,2022,2022-10-10,2022/2023
888,Solihull Metropolitan,4,41,2022,2022-10-10,2022/2023
889,Staffordshire Moorlands,2,41,2022,2022-10-10,2022/2023
890,Stirling,1,41,2022,2022-10-10,2022/2023
891,Stroud,4,41,2022,2022-10-10,2022/2023
892,Sunderland City Council,1,41,2022,2022-10-10,2022/2023
893,Vale of Glamorgan,3,41,2022,2022-10-10,2022/2023
894,West Lancashire,1,41,2022,2022-10-10,2022/2023
895,West Suffolk,5,41,2022,2022-10-10,2022/2023
896,Arun,1,42,2022,2022-10-17,2022/2023
897,Blaby,1,42,2022,2022-10-17,2022/2023
898,Braintree,3,42,2022,2022-10-17,2022/2023
899,Brentwood,1,42,2022,2022-10-17,2022/2023
900,Carmarthenshire,2,42,2022,2022-10-17,2022/2023
901,City and County of Swansea,2,42,2022,2022-10-17,2022/2023
902,Colchester,1,42,2022,2022-10-17,2022/2023
903,Cornwall,1,42,2022,2022-10-17,2022/2023
904,Coventry City,1,42,2022,2022-10-17,2022/2023
905,Harrogate,3,42,2022,2022-10-17,2022/2023
906,North Northamptonshire,1,42,2022,2022-10-17,2022/2023
907,Rochford,1,42,2022,2022-10-17,2022/2023
908,Sedgemoor,1,42,2022,2022-10-17,2022/2023
909,Shropshire,1,42,2022,2022-10-17,2022/2023
910,Somerset West and Taunton,3,42,2022,2022-10-17,2022/2023
911,South Lakeland,3,42,2022,2022-10-17,2022/2023
912,Vale of Glamorgan,3,42,2022,2022-10-17,2022/2023
913,West Lancashire,2,42,2022,2022-10-17,2022/2023
914,West Northamptonshire,3,42,2022,2022-10-17,2022/2023
915,Wiltshire,2,42,2022,2022-10-17,2022/2023
916,Worcester City,3,42,2022,2022-10-17,2022/2023
917,Stratford-on-Avon,1,42,2022,2022-10-17,2022/2023
918,Anglesey,6,43,2022,2022-10-24,2022/2023
919,Babergh,4,43,2022,2022-10-24,2022/2023
920,Broadland,2,43,2022,2022-10-24,2022/2023
921,Cheshire East,1,43,2022,2022-10-24,2022/2023
922,Cheshire West and Chester,4,43,2022,2022-10-24,2022/2023
923,East Suffolk,1,43,2022,2022-10-24,2022/2023
924,Horsham,1,43,2022,2022-10-24,2022/2023
925,King's Lynn and West Norfolk,2,43,2022,2022-10-24,2022/2023
926,Maidstone,1,43,2022,2022-10-24,2022/2023
927,New Forest,1,43,2022,2022-10-24,2022/2023
928,Orkney Islands,1,43,2022,2022-10-24,2022/2023
929,Preston City,1,43,2022,2022-10-24,2022/2023
930,Redbridge,1,43,2022,2022-10-24,2022/2023
931,Richmond upon Thames,8,43,2022,2022-10-24,2022/2023
932,Solihull Metropolitan,1,43,2022,2022-10-24,2022/2023
933,Staffordshire Moorlands,3,43,2022,2022-10-24,2022/2023
934,Stoke-on-Trent,4,43,2022,2022-10-24,2022/2023
935,Swale,1,43,2022,2022-10-24,2022/2023
936,Uttlesford,2,43,2022,2022-10-24,2022/2023
937,Wakefield Metropolitan,1,43,2022,2022-10-24,2022/2023
938,West Lancashire,5,43,2022,2022-10-24,2022/2023
939,Amber Valley,1,44,2022,2022-10-31,2022/2023
940,Arun,1,44,2022,2022-10-31,2022/2023
941,Birmingham City,1,44,2022,2022-10-31,2022/2023
942,Carmarthenshire,3,44,2022,2022-10-31,2022/2023
943,Cheshire East,2,44,2022,2022-10-31,2022/2023
944,Cheshire West and Chester,2,44,2022,2022-10-31,2022/2023
945,City of Wolverhampton,1,44,2022,2022-10-31,2022/2023
946,Coventry City,3,44,2022,2022-10-31,2022/2023
947,Derby City,1,44,2022,2022-10-31,2022/2023
948,East Riding of Yorkshire,10,44,2022,2022-10-31,2022/2023
949,Highland,1,44,2022,2022-10-31,2022/2023
950,Hull City,3,44,2022,2022-10-31,2022/2023
951,King's Lynn and West Norfolk,3,44,2022,2022-10-31,2022/2023
952,Leeds,3,44,2022,2022-10-31,2022/2023
953,Leicester City,1,44,2022,2022-10-31,2022/2023
954,Lichfield,2,44,2022,2022-10-31,2022/2023
955,New Forest,4,44,2022,2022-10-31,2022/2023
956,North Ayrshire,3,44,2022,2022-10-31,2022/2023
957,Orkney,2,44,2022,2022-10-31,2022/2023
958,Redbridge,2,44,2022,2022-10-31,2022/2023
959,Richmond upon Thames,4,44,2022,2022-10-31,2022/2023
960,Sedgemoor,2,44,2022,2022-10-31,2022/2023
961,Spelthorne,1,44,2022,2022-10-31,2022/2023
962,Staffordshire Moorlands,1,44,2022,2022-10-31,2022/2023
963,Swindon,1,44,2022,2022-10-31,2022/2023
964,Wiltshire,3,44,2022,2022-10-31,2022/2023
965,Amber Valley,2,45,2022,2022-11-07,2022/2023
966,Birmingham City,5,45,2022,2022-11-07,2022/2023
967,Blackburn with Darwen,2,45,2022,2022-11-07,2022/2023
968,Bromsgrove,1,45,2022,2022-11-07,2022/2023
969,Carmarthenshire,1,45,2022,2022-11-07,2022/2023
970,Chichester,2,45,2022,2022-11-07,2022/2023
971,Dorset,2,45,2022,2022-11-07,2022/2023
972,East Cambridgeshire,1,45,2022,2022-11-07,2022/2023
973,East Riding of Yorkshire,1,45,2022,2022-11-07,2022/2023
974,Elmbridge,2,45,2022,2022-11-07,2022/2023
975,King's Lynn and West Norfolk,3,45,2022,2022-11-07,2022/2023
976,Lewes,4,45,2022,2022-11-07,2022/2023
977,Maldon,1,45,2022,2022-11-07,2022/2023
978,Mid Suffolk,1,45,2022,2022-11-07,2022/2023
979,New Forest,2,45,2022,2022-11-07,2022/2023
980,North Northamptonshire,2,45,2022,2022-11-07,2022/2023
981,North Somerset,1,45,2022,2022-11-07,2022/2023
982,Northumberland,1,45,2022,2022-11-07,2022/2023
983,Redbridge,2,45,2022,2022-11-07,2022/2023
984,Scottish Borders,4,45,2022,2022-11-07,2022/2023
985,South Staffordshire,1,45,2022,2022-11-07,2022/2023
986,Stoke-on-Trent,4,45,2022,2022-11-07,2022/2023
987,Sunderland City Council,1,45,2022,2022-11-07,2022/2023
988,Waltham Forest,2,45,2022,2022-11-07,2022/2023
989,West Lancashire,5,45,2022,2022-11-07,2022/2023
990,West Northamptonshire,1,45,2022,2022-11-07,2022/2023
991,Central Bedfordshire,5,46,2022,2022-11-14,2022/2023
992,City of York,4,46,2022,2022-11-14,2022/2023
993,Darlington,2,46,2022,2022-11-14,2022/2023
994,Dorset,2,46,2022,2022-11-14,2022/2023
995,East Riding of Yorkshire,6,46,2022,2022-11-14,2022/2023
996,Fenland,1,46,2022,2022-11-14,2022/2023
997,Harrogate,3,46,2022,2022-11-14,2022/2023
998,Hull City,4,46,2022,2022-11-14,2022/2023
999,King's Lynn and West Norfolk,3,46,2022,2022-11-14,2022/2023
1000,Leeds,1,46,2022,2022-11-14,2022/2023
1001,Peterborough City,3,46,2022,2022-11-14,2022/2023
1002,Redcar and Cleveland,3,46,2022,2022-11-14,2022/2023
1003,South Hams,1,46,2022,2022-11-14,2022/2023
1004,South Norfolk,1,46,2022,2022-11-14,2022/2023
1005,Stafford,1,46,2022,2022-11-14,2022/2023
1006,Stockton-on-Tees,4,46,2022,2022-11-14,2022/2023
1007,West Lancashire,1,46,2022,2022-11-14,2022/2023
1008,AberdeenshireÂ ,1,47,2022,2022-11-21,2022/2023
1009,Argyll and Bute,3,47,2022,2022-11-21,2022/2023
1010,"Bournemouth, Christchurch and Poole",2,47,2022,2022-11-21,2022/2023
1011,Chelmsford,1,47,2022,2022-11-21,2022/2023
1012,Dartford,1,47,2022,2022-11-21,2022/2023
1013,Dorset,1,47,2022,2022-11-21,2022/2023
1014,Glasgow,3,47,2022,2022-11-21,2022/2023
1015,Hambleton,2,47,2022,2022-11-21,2022/2023
1016,Harrogate,4,47,2022,2022-11-21,2022/2023
1017,Hertsmere,1,47,2022,2022-11-21,2022/2023
1018,Highland,3,47,2022,2022-11-21,2022/2023
1019,Kings Lynn and West Norfolk,1,47,2022,2022-11-21,2022/2023
1020,London Borough of Haringey,4,47,2022,2022-11-21,2022/2023
1021,Milton Keynes,3,47,2022,2022-11-21,2022/2023
1022,Moray,5,47,2022,2022-11-21,2022/2023
1023,North West Leicestershire,1,47,2022,2022-11-21,2022/2023
1024,Oxford City,4,47,2022,2022-11-21,2022/2023
1025,Powys,1,47,2022,2022-11-21,2022/2023
1026,Redcar and Cleveland,3,47,2022,2022-11-21,2022/2023
1027,Runnymede,1,47,2022,2022-11-21,2022/2023
1028,Salisbury,1,47,2022,2022-11-21,2022/2023
1029,Sedgemoor,1,47,2022,2022-11-21,2022/2023
1030,Staffordshire Moorlands,1,47,2022,2022-11-21,2022/2023
1031,Stockton-on-Tees,2,47,2022,2022-11-21,2022/2023
1032,Torridge,1,47,2022,2022-11-21,2022/2023
1033,Wakefield,5,47,2022,2022-11-21,2022/2023
1034,Warwick,2,47,2022,2022-11-21,2022/2023
1035,West Lancashire,1,47,2022,2022-11-21,2022/2023
1036,York,2,47,2022,2022-11-21,2022/2023
